company_id,company_name,biz_region_name
26234,Aramark Denver,"Denver, CO"
37737,NRG Stadium Facilities,Houston
37983,ABM - Angels Stadium,"Los Angeles, CA"
36862,ABM - American Airlines Center,Dallas
32446,Q2 Stadium,Austin
36257,Craft Culinary Concepts at Will Rogers Memorial Center,Dallas
26423,Globe Life Field,Dallas
35341,Pritchard Sports - State Farm Arena,"Atlanta, GA"
32411,Crypto.com Arena,"Los Angeles, CA"
32338,Washington Nationals Park,"Washington, D.C."
33415,Wrigley Field,Chicago
31759,Allegiant Stadium,Las Vegas
39285,Aramark - PPG Paints Arena,"Pittsburgh, PA"
36309,Aramark @ Ford Rotunda Center,"Detroit, MI"
39280,Aramark - Kauffman Stadium,"Kansas City, MO"
39270,ABM - Lower.com Field,Columbus
38524,FTX Arena,"Miami, FL"
31776,Dignity Health Sports Park,"Los Angeles, CA"
15055,Levy @ T-Mobile Arena,Las Vegas
39094,Levy - Gila River Arena,"Phoenix, AZ"
31037,Yankees Stadium,"New York, NY"
39237,Aramark - Wells Fargo Center,"Philadelphia, PA"
39465,Spectra - Citizens Bank Park,"Philadelphia, PA"
33046,PNC Stadium,Houston
39188,ABM - Allegiant Stadium,Las Vegas
32311,State Farm Arena,"Atlanta, GA"
32252,Tropicana Field,"Tampa, FL"
33000,Levy Restaurants - Phoenix,"Phoenix, AZ"
33004,Delaware North at Red Bull Arena,"New York, NY"
32831,Climate Pledge Arena - DN,Seattle
31895,AT&T Center,Austin
31981,Dickies Arena,Dallas
29254,Angels Stadium,"Los Angeles, CA"
32980,Target Field,"Minneapolis, MN"
32732,Amway Center,Orlando
31357,Citizens Bank Park,"Philadelphia, PA"
16866,Q Center,Chicago
38743,Pritchard Sports - Climate Pledge Arena,Seattle
39030,PSC - Day Air Park,Columbus